# Title: Measuring the Rotation Period Distribution of Field M-dwarfs with Kepler
# Authors: A. McQuillan, S. Aigrain and T. Mazeh
#
# Table 2. M-dwarfs with detected rotation periods.
#
KID,Teff,logg,Mass,Period,Period_Err,Amplitude,Flag
6224062,3830,4.49,0.4769,8.541,0.005,29.0,NF
6224166,3684,4.38,0.4214,33.460,0.367,6.0,NF
6267461,3968,4.53,0.5307,14.620,0.025,7.5,NF
6272732,3935,4.35,0.5178,28.832,0.045,9.5,NF
6276708,3993,4.38,0.5406,24.408,0.142,10.6,NF
6280503,3836,4.45,0.4792,15.346,0.182,4.7,NF
6290811,3689,4.55,0.4233,2.820,0.000,19.9,PB
6307686,3989,4.40,0.5390,13.343,0.020,10.1,NF
6310107,3653,4.41,0.4099,43.544,18.584,11.0,NF
6310128,3903,4.42,0.5052,27.136,0.303,3.3,NF
6310265,3730,4.40,0.4387,4.475,0.000,36.6,PB
6344749,3968,4.60,0.5307,33.154,0.009,14.1,NF
6345048,3736,4.71,0.4410,22.487,0.081,3.4,NF
6345835,0,-inf,0.0000,32.418,0.446,2.6,NF
6347434,3910,4.52,0.5080,15.397,0.108,5.6,NF
6347864,3915,4.35,0.5099,24.949,0.656,3.2,NF
6352355,3849,4.50,0.4842,28.668,0.045,5.2,NF
6356144,3863,4.34,0.4897,5.354,0.000,47.0,PB
6358735,3677,4.56,0.4188,32.224,0.087,4.8,NF
6362190,3842,4.42,0.4815,20.188,0.049,6.0,NF
6363233,3889,4.45,0.4998,15.816,0.064,4.5,NF
6363613,3876,4.59,0.4947,23.601,0.061,7.5,NF
6366330,3820,4.64,0.4731,16.705,0.286,8.8,NF
6368045,3978,4.44,0.5347,42.911,22.268,2.23,NF
6371100,3903,4.45,0.5052,29.905,0.035,16.7,NF
6382217,3952,4.46,0.5244,33.409,0.332,17.5,PL
6385060,3808,4.39,0.4684,38.293,13.858,6.7,NF
6385586,3829,4.34,0.4765,30.385,0.166,6.8,NF
6388229,3922,4.58,0.5127,33.879,0.149,5.4,NF
6420895,3905,4.58,0.5060,28.668,0.045,7.7,NF
6423086,3893,4.56,0.5013,26.176,0.061,9.3,NF
6423563,3997,4.51,0.5422,35.258,0.192,6.5,NF
6424516,3640,4.58,0.4051,32.633,0.157,9.4,NF
6425928,3947,4.49,0.5225,2.973,0.025,43.6,PB
6425989,3804,4.63,0.4669,16.163,0.193,11.2,NF
6432245,3978,4.49,0.5347,15.673,6.862,1.5,NF
6435936,3743,4.69,0.4436,20.209,0.025,21.0,PL
6436291,3515,4.04,0.3597,47.406,12.277,10.6,NF
6438389,3568,4.16,0.3787,43.248,19.823,3.8,NF
6452389,3817,4.58,0.4719,19.555,0.012,6.9,NF
6464396,3934,4.53,0.5174,13.159,0.005,23.8,NF
6469920,3811,4.60,0.4696,16.991,0.229,9.9,NF
6497141,3975,4.52,0.5335,22.937,0.054,11.6,NF
6497146,3822,4.44,0.4738,37.026,14.223,8.9,NF
6502294,3816,4.48,0.4715,33.460,0.192,7.8,NF
6502475,3932,4.49,0.5166,14.171,0.035,6.9,NF
6503104,3662,4.29,0.4132,29.404,0.879,10.4,NF
6504214,3833,4.45,0.4781,22.119,0.102,4.6,NF
6504736,3659,4.22,0.4121,37.496,17.165,7.2,NF
6508734,3779,4.56,0.4573,36.505,0.280,13.7,NF
6526930,3923,4.42,0.5131,29.322,0.212,10.9,NF
6541829,3906,4.41,0.5064,26.789,0.472,3.2,NF
6543547,3929,4.51,0.5154,16.756,0.096,5.1,NF
6545415,3839,4.49,0.4804,5.497,0.030,26.9,NF
6548898,3665,4.29,0.4143,21.864,9.971,13.4,NF
6579884,3869,4.50,0.4920,34.911,0.367,3.5,NF
6583177,3818,4.58,0.4723,19.555,0.111,4.3,NF
6584500,3714,4.65,0.4327,34.512,0.446,5.5,NF
6585067,3726,4.43,0.4372,19.392,0.012,14.3,NF
6592335,3732,4.40,0.4395,44.607,20.511,6.62,NF
6600771,3908,4.51,0.5072,13.067,0.096,23.5,NF
6605595,3516,4.04,0.3600,52.658,15.503,8.2,NF
6607612,3914,4.38,0.5095,18.217,0.017,13.7,NF
6609906,3805,4.53,0.4673,18.523,0.103,6.3,NF
6610837,3640,4.26,0.4051,18.053,0.069,17.3,NF
6611875,3546,4.11,0.3708,25.093,0.212,11.8,NF
6620003,3955,4.44,0.5256,3.433,0.000,3.3,EB
6631015,3918,4.32,0.5111,15.693,0.193,12.9,NF
6666233,3932,4.45,0.5166,24.490,7.547,7.1,PL
6668646,3731,4.53,0.4391,6.151,0.000,38.4,PB
6671587,3816,4.56,0.4715,20.005,0.025,7.0,NF
6674908,3869,4.53,0.4920,10.033,0.025,44.6,NF
6678515,3959,4.49,0.5272,16.633,0.043,5.0,NF
6690942,3901,4.54,0.5045,18.166,0.262,5.3,NF
6696016,3639,4.66,0.4047,21.128,0.136,7.5,NF
6700873,3921,4.48,0.5123,33.246,0.726,6.2,NF
6704617,3844,4.59,0.4823,16.653,0.214,15.0,NF
6705695,3861,4.50,0.4889,20.454,0.247,4.5,NF
6715960,3652,4.32,0.4095,0.920,0.000,1.7,PB
6718482,3977,4.70,0.5343,2.922,0.010,2.5,PB
6720765,3706,4.33,0.4297,38.947,19.623,7.0,NF
6758299,3950,4.54,0.5237,16.163,0.032,10.3,NF
6763067,3846,4.62,0.4831,2.983,0.000,26.4,PB
6766663,3903,4.50,0.5052,10.462,0.182,12.5,NF
6767424,3747,4.62,0.4452,31.039,0.087,5.5,NF
6768036,3673,4.62,0.4173,44.770,17.130,5.0,NF
6775103,3790,4.90,0.4615,21.088,0.062,8.7,NF
6775689,3919,4.38,0.5115,30.324,0.184,11.6,NF
6776936,3853,4.52,0.4858,23.141,0.285,5.3,NF
6782860,3550,4.20,0.3722,37.179,0.455,6.4,NF
6783369,3677,4.30,0.4188,31.795,0.665,7.4,NF
6790075,3562,4.28,0.3766,51.810,16.352,10.6,NF
6792288,3810,4.48,0.4692,35.616,0.052,9.9,NF
6803555,3696,4.60,0.4259,20.842,0.012,10.6,NF
6838434,3906,4.45,0.5064,19.065,0.012,13.1,NF
6843766,3810,4.48,0.4692,18.298,0.063,6.4,NF
6846346,3874,4.49,0.4939,33.215,0.131,4.7,NF
6846570,3913,4.46,0.5091,4.138,0.005,46.9,PB
6863158,3927,4.39,0.5146,34.502,0.175,8.7,NF
6863726,3671,4.37,0.4166,21.782,0.210,4.2,NF
6864891,3900,4.58,0.5041,28.628,0.773,12.8,NF
6866518,3950,4.49,0.5237,31.815,0.280,8.4,NF
6871390,3920,4.62,0.5119,0.654,0.000,40.0,PB
6871896,3969,4.54,0.5311,14.293,0.101,25.0,NF
6878738,3625,4.66,0.3995,16.572,0.429,10.1,NF
6881138,3986,4.41,0.5378,21.190,0.099,3.3,NF
6888521,3618,4.13,0.3970,47.508,18.672,6.1,NF
6921817,3737,4.66,0.4414,20.250,0.025,11.5,NF
6921821,3607,4.23,0.3929,36.699,0.875,6.3,NF
6922183,3924,4.42,0.5135,26.278,0.030,8.9,NF
6923995,3893,4.47,0.5013,16.429,0.121,8.7,NF
6927938,3929,4.51,0.5154,22.242,0.088,5.4,NF
6937405,3846,4.63,0.4831,43.217,17.670,3.8,NF
6940654,3637,4.64,0.4040,42.236,11.918,7.5,NF
6945041,3820,4.62,0.4731,41.419,16.620,9.0,NF
6949326,3942,4.37,0.5205,15.039,0.030,6.0,NF
6949412,3848,4.44,0.4839,1.635,0.000,24.3,PB
6950440,3674,4.56,0.4177,20.250,0.025,8.1,NF
6955274,3863,4.60,0.4897,29.435,0.131,3.8,NF
7018323,3830,4.63,0.4769,6.314,0.000,27.2,NF
7020381,3940,4.52,0.5197,15.427,0.021,17.1,NF
7022432,3542,4.17,0.3693,49.398,17.705,15.7,NF
7022598,3823,4.48,0.4742,19.412,0.025,9.7,NF
7025006,3535,4.10,0.3668,55.886,28.755,9.9,NF
7031430,3643,4.32,0.4062,21.762,0.122,12.2,NF
7033830,3613,4.16,0.3951,4.005,0.000,116.1,PB
7035373,3911,4.64,0.5084,40.316,11.864,7.7,NF
7038372,3882,4.51,0.4971,17.563,0.017,13.6,NF
7046921,3957,4.52,0.5264,30.814,0.149,18.9,NF
7047750,3959,4.53,0.5272,23.131,0.095,3.7,NF
7049465,4033,4.50,0.5565,34.512,0.210,3.7,NF
7049521,3974,4.39,0.5331,37.353,18.685,5.4,NF
7091649,3896,4.42,0.5025,26.502,0.061,2.2,NF
7091787,3936,4.56,0.5182,14.150,0.035,5.2,NF
7093688,3741,4.46,0.4429,40.888,20.758,10.9,NF
7093721,3830,4.59,0.4769,18.922,0.012,10.4,NF
7105834,3503,4.01,0.3554,60.034,21.775,16.7,NF
7106306,3975,4.36,0.5335,14.232,0.010,11.0,NF
7106807,0,-inf,0.0000,48.469,16.582,7.5,NF
7108212,3931,4.53,0.5162,17.144,0.985,2.7,NF
7110077,3738,4.40,0.4417,22.150,0.000,6.5,NF
7117293,3621,4.19,0.3981,2.718,0.000,43.6,PB
7117506,3902,4.39,0.5048,22.589,0.346,2.92,NF
7118061,3909,4.51,0.5076,39.560,10.866,2.6,NF
7131359,3882,4.54,0.4971,40.806,20.488,2.5,NF
7137132,3909,4.74,0.5076,22.446,0.061,5.0,NF
7174385,3901,4.57,0.5045,14.487,0.020,7.8,NF
7177589,3866,4.38,0.4908,34.226,0.184,10.7,NF
7184587,3960,4.30,0.5276,35.432,0.350,6.9,NF
7184868,3727,4.59,0.4376,28.832,0.136,3.8,NF
7190458,3920,4.53,0.5119,51.278,13.008,4.4,NF
7190459,3808,4.56,0.4684,6.815,0.015,8.3,NF
7191311,3746,4.63,0.4448,3.801,0.000,30.1,PB
7202953,3824,4.36,0.4746,28.852,0.182,5.8,NF
7212779,3955,4.28,0.5256,24.868,0.045,6.7,NF
7214801,3804,4.43,0.4669,35.902,0.105,6.2,NF
7214825,3865,4.45,0.4904,15.836,0.054,4.9,NF
7215890,3799,4.40,0.4650,18.002,0.029,7.4,NF
7219652,3817,4.52,0.4719,27.258,0.121,9.9,NF
7255000,3674,4.48,0.4177,34.206,16.299,5.2,NF
7255169,3912,4.63,0.5088,38.865,10.171,8.4,NF
7259996,3906,4.59,0.5064,25.542,2.900,5.3,NF
7264900,3657,4.25,0.4114,48.274,20.643,13.9,NF
7268738,3875,4.55,0.4943,16.756,0.080,5.0,NF
7269729,3867,4.58,0.4912,17.839,0.029,12.3,NF
7272220,3884,4.64,0.4978,17.655,0.034,14.9,NF
7282705,3867,4.54,0.4912,14.549,0.037,7.2,NF
7283365,3829,4.70,0.4765,18.615,0.097,7.1,NF
7285617,3998,4.55,0.5426,13.721,0.025,7.0,NF
7289257,3538,4.12,0.3679,47.866,21.526,4.5,NF
7289416,3560,4.15,0.3758,68.759,15.834,7.1,NF
7294746,3935,4.47,0.5178,18.411,0.011,17.5,NF
7300322,3734,4.49,0.4402,32.837,0.297,10.1,NF
7335104,3963,4.63,0.5288,43.095,20.295,6.1,NF
7335603,3840,4.45,0.4808,15.070,0.157,5.9,NF
7335857,3936,4.55,0.5182,18.482,0.040,6.9,NF
7337164,3999,4.52,0.5430,15.080,0.035,5.3,NF
7338033,3834,4.57,0.4784,40.990,12.180,4.5,NF
7347932,3847,4.60,0.4835,41.399,10.668,7.1,NF
7350067,3537,4.14,0.3676,3.515,0.000,45.4,PB
7367141,3866,4.50,0.4908,19.535,0.074,6.4,NF
7367431,3987,4.55,0.5382,19.923,0.260,4.6,NF
7368642,3699,4.53,0.4271,42.706,10.062,7.18,NF
7378659,3912,4.38,0.5088,27.279,0.212,7.8,NF
7379420,3951,4.49,0.5241,16.939,0.021,5.4,NF
7382228,3845,4.66,0.4827,37.639,15.167,9.8,NF
7417788,3911,4.58,0.5084,19.575,0.099,3.2,NF
7417813,3493,4.01,0.3519,52.331,27.229,7.5,NF
7422278,3921,4.32,0.5123,33.266,10.419,4.0,NF
7422811,3809,4.90,0.4688,4.557,0.000,16.7,PB
7434110,3618,4.20,0.3970,1.798,0.000,36.4,PB
7445605,3969,4.58,0.5311,1.083,0.000,25.2,PB
7451604,3878,4.51,0.4955,38.109,12.948,5.2,NF
7455287,3705,4.63,0.4293,34.548,0.070,9.1,PL
7456036,3821,4.66,0.4734,39.968,0.402,4.4,NF
7456662,3977,4.54,0.5343,16.725,0.040,4.2,NF
7465605,3868,4.26,0.4916,6.007,0.000,25.8,PB
7499836,3913,4.55,0.5091,39.478,14.186,9.0,NF
7501618,3790,4.64,0.4615,24.571,11.556,4.5,NF
7504202,3963,4.51,0.5288,22.497,0.076,4.6,NF
7506298,3863,4.59,0.4897,32.929,0.087,11.5,NF
7509281,3676,4.53,0.4184,5.394,0.000,29.6,PB
7510767,3895,4.59,0.5021,18.564,0.006,14.5,NF
7513242,3747,6.05,0.4452,48.734,13.888,5.9,NF
7515543,3845,4.46,0.4827,38.579,10.598,8.0,NF
7516478,3910,4.54,0.5080,31.570,13.536,2.8,NF
7532381,3667,4.46,0.4151,45.015,20.450,13.9,NF
7534455,3907,4.58,0.5068,12.127,0.126,6.6,NF
7539346,3950,4.54,0.5237,35.677,0.385,3.6,NF
7542314,3873,4.55,0.4936,16.694,0.021,11.6,NF
7543006,3884,4.57,0.4978,22.324,0.136,3.8,NF
7547969,3723,4.70,0.4361,0.674,0.000,22.8,PB
7549594,3646,4.65,0.4073,28.750,0.348,4.1,NF
7581219,3740,4.50,0.4425,36.842,1.758,7.9,NF
7581487,3816,4.53,0.4715,25.869,0.212,4.24,NF
7583116,3839,4.32,0.4804,41.419,10.203,3.0,NF
7584332,3891,4.61,0.5006,31.887,0.297,2.9,NF
7590933,3902,4.41,0.5048,27.340,0.121,5.3,HM
7592133,3654,4.24,0.4103,10.717,0.005,11.9,NF
7593749,3933,4.38,0.5170,42.257,16.203,8.4,NF
7596910,0,-inf,0.0000,59.043,18.996,4.6,NF
7603200,3750,4.50,0.4463,18.860,0.111,4.0,PL
7613448,3973,4.49,0.5327,17.134,0.034,7.7,NF
7620399,3990,4.54,0.5394,13.691,0.091,4.9,NF
7621019,3852,4.53,0.4854,20.985,0.025,3.9,NF
7622850,3813,4.65,0.4704,18.278,0.109,6.0,NF
7625890,3849,4.52,0.4842,39.233,12.680,5.0,NF
7626388,3614,4.54,0.3955,35.309,0.149,6.6,NF
7659172,3886,4.52,0.4986,19.494,0.049,8.9,NF
7659667,3940,4.55,0.5197,19.698,0.087,7.2,NF
7660117,3990,4.51,0.5394,35.309,0.079,7.3,NF
7661117,3727,4.51,0.4376,31.110,1.216,6.3,NF
7662697,3859,4.56,0.4881,26.564,0.212,6.2,NF
7670700,3722,4.37,0.4357,23.785,0.461,11.7,NF
7671030,3657,4.26,0.4114,32.101,0.166,13.7,NF
7671594,3717,4.35,0.4338,1.410,0.000,58.2,EB
7673428,3734,4.59,0.4402,14.998,0.020,23.1,NF
7676756,3723,4.27,0.4361,23.683,0.305,3.0,NF
7677767,3708,4.43,0.4304,28.137,0.030,12.5,NF
7692454,3659,4.35,0.4121,16.510,0.150,18.2,NF
7693403,3946,4.56,0.5221,15.897,0.032,8.8,NF
7695500,3840,4.44,0.4808,38.477,13.347,8.7,NF
7729557,3709,4.39,0.4308,22.937,0.102,4.1,NF
7730659,3930,4.52,0.5158,31.570,0.359,6.6,NF
7732242,3815,4.59,0.4711,33.235,0.219,4.8,NF
7733540,3918,4.31,0.5111,1.553,0.000,83.4,PB
7734216,3680,4.38,0.4199,34.942,0.017,6.7,NF
7734325,3732,4.65,0.4395,49.715,16.492,10.7,NF
7734893,3813,4.43,0.4704,20.393,0.025,7.7,NF
7740983,3727,4.44,0.4376,3.331,0.000,27.8,PB
7741801,3851,4.48,0.4850,19.698,0.186,4.2,NF
7741987,3704,4.35,0.4289,1.267,0.000,16.8,PB
7743830,3916,4.45,0.5103,13.486,0.061,35.2,NF
7744122,3880,4.44,0.4963,13.527,0.030,6.3,NF
7744840,3739,4.35,0.4421,30.119,0.210,3.3,NF
7747368,4000,4.51,0.5434,35.524,0.114,4.8,NF
7751342,3855,4.60,0.4866,12.383,0.010,14.6,NF
7765762,3998,4.41,0.5426,9.941,0.069,26.9,NF
7771186,3812,4.63,0.4700,15.632,0.075,9.4,NF
7773724,3613,4.36,0.3951,36.515,2.003,7.3,NF
7777570,3858,4.51,0.4877,20.311,0.012,10.6,NF
7800087,3828,4.36,0.4761,0.470,0.000,49.8,PB
7802933,3859,4.57,0.4881,35.718,0.157,8.1,NF
7804024,3918,4.55,0.5111,33.429,0.429,5.6,NF
7807888,3897,4.43,0.5029,24.214,12.887,3.6,NF
7809108,3972,4.44,0.5323,21.803,1.242,2.2,NF
7809755,3937,4.50,0.5186,11.147,0.020,12.2,NF
7810653,3835,4.68,0.4788,33.971,0.367,4.8,NF
7812368,3829,4.67,0.4765,44.116,14.645,8.3,NF
7816331,3894,4.52,0.5017,23.744,0.298,2.98,NF
7817489,3638,4.61,0.4043,39.641,12.521,6.3,NF
7840840,3834,4.46,0.4784,40.438,15.501,7.0,NF
7847566,3565,4.24,0.3776,28.975,0.045,28.6,NF
7849441,3893,4.47,0.5013,19.024,0.049,7.5,NF
7849619,3878,4.52,0.4955,13.537,0.141,23.4,NF
7867585,3914,4.57,0.5095,19.575,0.037,8.1,NF
7867964,3822,4.54,0.4738,23.427,0.346,7.5,NF
7871438,3863,4.42,0.4897,2.840,0.000,47.2,PB
7871442,3871,4.44,0.4928,17.399,0.029,6.5,NF
7875008,3839,4.45,0.4804,21.803,0.061,11.7,NF
7877209,3708,4.47,0.4304,11.606,0.298,36.7,NF
7877270,3976,4.52,0.5339,31.652,0.052,6.5,NF
7878428,3785,4.49,0.4596,30.344,0.258,7.7,NF
7880466,3938,4.45,0.5189,14.161,0.207,4.2,NF
7882472,3904,4.59,0.5056,29.057,0.076,9.0,NF
7898781,3724,4.50,0.4365,31.887,0.236,13.2,NF
7900436,3857,4.70,0.4873,19.637,0.334,5.8,NF
7903291,3805,4.56,0.4673,31.458,0.674,5.4,NF
7906865,3971,4.50,0.5319,25.726,0.136,9.0,NF
7907119,3918,4.53,0.5111,9.226,0.005,35.7,NF
7907423,3653,4.59,0.4099,36.985,11.839,5.3,PL
7917325,3859,4.59,0.4881,41.787,11.115,5.1,NF
7938615,3825,4.47,0.4750,15.611,0.140,4.2,NF
7938787,3507,4.03,0.3568,57.337,29.787,7.7,NF
7939565,3593,4.15,0.3878,4.046,0.000,11.3,PB
7941412,3904,4.54,0.5056,27.402,0.258,5.7,NF
7949846,3680,4.22,0.4199,28.178,0.197,9.7,NF
7950450,3851,4.64,0.4850,20.658,0.223,4.7,NF
7951063,3876,4.52,0.4947,13.997,0.025,7.5,NF
7954192,3714,4.61,0.4327,20.331,0.136,5.4,NF
7954276,3972,4.52,0.5323,21.966,0.088,2.1,NF
7960606,3592,4.27,0.3875,50.011,17.814,8.4,NF
7967416,3682,4.49,0.4207,38.947,14.270,9.4,NF
7973675,3687,4.35,0.4226,17.021,0.118,8.0,NF
7987934,3734,4.51,0.4402,34.380,0.822,7.4,NF
8007234,3676,4.32,0.4184,16.756,0.021,40.4,NF
8008320,3737,4.62,0.4414,29.424,0.167,3.2,NF
8008646,3899,4.50,0.5037,20.618,0.062,6.1,NF
8009549,3828,4.48,0.4761,18.564,0.132,4.7,NF
8010330,3899,4.48,0.5037,28.219,0.061,11.2,NF
8012943,3690,4.59,0.4237,0.572,0.000,11.7,PB
8013517,3961,4.56,0.5280,24.449,0.061,7.7,NF
8016887,3877,4.53,0.4951,19.432,0.074,3.4,NF
8017291,3900,4.47,0.5041,36.954,0.297,8.2,NF
8028923,3852,4.45,0.4854,16.163,0.054,11.0,NF
8040551,3950,4.46,0.5237,16.326,0.011,8.4,NF
8042251,3931,4.42,0.5162,16.245,0.107,5.0,NF
8057610,3689,4.53,0.4233,1.737,0.010,3.0,PB
8077356,3676,4.21,0.4184,37.026,15.622,10.2,NF
8078875,3912,4.62,0.5088,12.444,0.071,21.2,NF
8082910,3836,4.55,0.4792,19.269,0.099,5.8,NF
8085465,4000,4.51,0.5434,14.467,0.025,10.5,NF
8086398,3821,4.61,0.4734,19.821,0.025,16.1,NF
8087195,3584,4.49,0.3845,45.833,13.895,4.9,NF
8093473,3595,4.04,0.3885,6.069,0.005,56.5,PB
8093813,3679,4.49,0.4196,30.773,0.096,15.5,NF
8094234,3976,4.55,0.5339,35.861,0.096,15.6,NF
8097851,3891,4.52,0.5006,20.515,0.062,4.7,NF
8111203,3754,4.45,0.4478,30.344,1.288,3.2,NF
8120608,3881,4.54,0.4967,33.695,0.306,6.0,PL
8128926,3962,4.52,0.5284,17.369,0.412,6.8,NF
8142993,3907,4.56,0.5068,22.804,0.041,4.5,NF
8143903,3678,4.22,0.4192,44.218,18.224,12.5,NF
8144291,3688,4.39,0.4229,30.467,0.831,9.2,NF
8150479,3690,4.29,0.4237,21.649,0.376,5.9,NF
8151009,3850,4.49,0.4846,15.039,0.096,12.8,NF
8153154,3748,4.58,0.4455,28.934,0.197,3.4,NF
8155169,3718,4.61,0.4342,43.115,12.193,6.9,NF
8158164,3924,4.44,0.5135,16.040,0.064,8.2,NF
8161771,3919,4.40,0.5115,29.220,0.076,12.7,NF
8162250,3967,4.46,0.5304,34.482,1.032,4.5,HM
8167996,3892,4.39,0.5009,24.520,0.122,3.6,PL
8183277,3941,4.55,0.5201,34.012,0.262,6.1,NF
8183594,3685,4.24,0.4218,31.774,0.227,6.1,NF
8189555,3819,4.85,0.4727,20.352,9.846,3.9,NF
8190637,3728,4.54,0.4380,31.223,0.131,7.5,NF
8196449,3706,4.30,0.4297,4.618,0.000,49.7,PB
8210323,3815,4.48,0.4711,13.026,0.035,33.7,NF
8217295,3658,4.33,0.4117,40.030,17.888,4.3,NF
8218687,3734,4.59,0.4402,19.759,0.210,4.2,NF
8219352,3908,4.67,0.5072,27.218,0.242,3.8,NF
8226440,3652,4.37,0.4095,38.252,15.792,15.1,NF
8228868,3898,4.50,0.5033,18.513,0.006,5.1,NF
8229458,3922,4.44,0.5127,15.468,0.182,9.0,PL
8233490,3827,4.48,0.4758,26.911,0.318,2.0,NF
8235487,3881,4.46,0.4967,32.040,0.446,8.3,NF
8236202,3975,4.40,0.5335,25.665,0.030,8.3,NF
8242064,3680,4.49,0.4199,32.878,0.052,5.7,NF
8248415,3718,4.53,0.4342,18.196,0.349,4.8,NF
8249268,3822,4.58,0.4738,38.109,19.249,6.1,NF
8255148,3682,4.44,0.4207,40.132,10.487,8.1,NF
8258370,3794,4.56,0.4631,21.312,0.074,4.5,NF
8265007,3826,4.77,0.4754,40.990,18.194,11.4,NF
8280113,3763,4.52,0.4512,22.824,0.088,8.6,NF
8283025,3960,4.76,0.5276,32.295,0.464,7.1,NF
8283487,3635,4.58,0.4032,32.857,0.087,4.0,HM
8289464,3674,4.60,0.4177,18.145,0.023,8.5,NF
8292510,3670,4.39,0.4162,33.460,0.394,3.2,NF
8293258,3742,4.65,0.4433,37.210,15.568,9.9,NF
8293417,3873,4.60,0.4936,17.532,0.126,10.1,NF
8295781,3854,4.45,0.4862,23.070,0.251,5.7,NF
8299093,3687,4.27,0.4226,40.295,10.509,5.4,NF
8308866,3994,4.48,0.5410,27.095,0.091,5.9,NF
8310086,3707,4.50,0.4301,35.881,0.122,13.0,NF
8312120,3721,4.45,0.4353,35.565,0.350,6.7,NF
8316286,3969,4.50,0.5311,15.836,0.107,4.2,NF
8325962,3975,4.46,0.5335,12.659,0.056,8.3,NF
8331561,3826,4.48,0.4754,0.429,0.000,59.9,PB
8343785,3954,4.51,0.5252,7.152,0.005,20.1,NF
8350612,3881,4.41,0.4967,36.883,0.052,4.4,NF
8363450,3929,4.54,0.5154,20.066,0.062,5.8,NF
8365200,3652,4.31,0.4095,19.248,0.223,6.0,NF
8370394,3545,4.12,0.3704,39.805,1.286,2.9,NF
8373723,3676,4.31,0.4184,19.780,0.359,16.4,NF
8375488,3813,4.40,0.4704,28.525,0.394,9.6,NF
8377279,3693,4.47,0.4248,21.547,0.041,18.6,NF
8377714,3971,4.47,0.5319,16.224,0.171,2.6,NF
8380342,3970,4.41,0.5315,32.500,0.910,5.7,NF
8381383,3844,4.48,0.4823,24.898,0.244,3.0,NF
8382212,3830,4.36,0.4769,30.017,0.026,6.9,NF
8388857,3716,4.52,0.4334,16.776,0.054,8.5,NF
8393582,3887,4.55,0.4990,18.309,0.183,3.9,NF
8398221,3996,4.54,0.5418,11.647,0.010,10.7,NF
8414216,3868,4.42,0.4916,36.321,0.105,5.0,NF
8415004,3893,4.41,0.5013,1.226,0.000,63.6,PB
8415119,3851,4.60,0.4850,18.002,0.166,7.0,NF
8415336,3970,4.52,0.5315,17.920,0.080,6.3,NF
8415867,3925,4.33,0.5138,28.464,0.212,6.2,NF
8416220,3540,4.08,0.3686,0.715,0.020,42.3,PB
8418317,3747,4.77,0.4452,38.088,13.532,5.8,NF
8421129,3520,4.05,0.3615,48.121,22.123,23.4,NF
8423373,3678,4.29,0.4192,42.665,12.696,10.8,NF
8425062,3864,4.53,0.4901,30.753,0.131,3.4,NF
8428347,3724,4.54,0.4365,24.806,0.434,10.5,NF
8454353,3699,4.47,0.4271,1.492,0.000,39.5,PB
8456954,3619,4.62,0.3973,31.580,0.831,9.8,NF
8459697,3977,4.44,0.5343,16.694,0.064,5.2,NF
8461279,3743,4.59,0.4436,18.452,0.378,5.0,NF
8474262,3881,4.53,0.4967,32.224,0.149,8.4,NF
8474661,3876,4.60,0.4947,26.952,0.258,2.7,NF
8474897,3648,4.62,0.4080,1.001,0.000,7.4,PB
8479326,3946,4.44,0.5221,17.144,0.074,4.4,NF
8483557,3658,4.53,0.4117,22.232,0.041,7.9,NF
8487692,3670,4.37,0.4162,31.141,0.262,2.6,NF
8491142,3995,4.54,0.5414,16.807,0.269,3.2,NF
8494510,3816,4.43,0.4715,2.105,0.000,55.6,PB
8499971,3911,4.43,0.5084,16.694,0.011,16.2,NF
8505485,3984,4.38,0.5371,15.530,0.011,6.0,NF
8505930,3817,4.53,0.4719,19.371,0.087,5.8,NF
8507979,3512,4.05,0.3586,1.226,0.000,52.2,PB
8510500,3836,4.63,0.4792,35.003,0.682,6.9,NF
8516922,3892,4.53,0.5009,23.856,0.434,4.5,NF
8520954,3807,4.22,0.4681,28.730,0.212,5.5,NF
8521933,3917,4.51,0.5107,27.156,0.288,8.2,NF
8544884,3728,4.32,0.4380,37.455,14.931,9.7,NF
8545145,3962,4.58,0.5284,30.783,0.315,4.8,NF
8546136,3816,4.41,0.4715,19.351,0.025,17.7,NF
8547947,3923,4.49,0.5131,27.381,0.121,6.6,NF
8554218,3984,4.68,0.5371,25.849,0.621,10.8,NF
8556261,3844,4.40,0.4823,19.024,0.166,5.2,NF
8558589,3963,4.52,0.5288,24.255,0.044,9.8,NF
8565204,3674,4.39,0.4177,13.731,0.066,14.1,NF
8573021,3857,4.31,0.4873,33.072,0.586,5.8,NF
8581480,3669,4.27,0.4158,26.237,0.182,12.5,NF
8583756,3860,4.31,0.4885,9.216,0.020,25.0,NF
8589002,3825,4.36,0.4750,19.392,0.148,5.5,NF
8604363,3996,4.46,0.5418,30.334,0.542,6.9,NF
8607728,0,-inf,0.0000,23.846,0.115,11.8,NF
8609534,3998,4.53,0.5426,23.846,0.650,2.1,NF
8609873,3982,4.39,0.5363,29.690,0.591,4.7,NF
8611277,3933,4.39,0.5170,18.983,0.037,6.4,NF
8611876,3504,4.02,0.3558,1.573,0.000,31.0,PB
8621836,3920,4.61,0.5119,35.565,0.061,11.3,NF
8647852,3997,4.46,0.5422,22.978,0.169,7.5,NF
8652639,3978,4.53,0.5347,31.631,0.105,11.3,NF
8655810,3526,4.10,0.3636,43.871,18.903,21.6,NF
8673358,3680,4.24,0.4199,1.022,0.000,31.2,PB
